datetime,x,y,N2O_ppb,comment,hour,transect
2019-03-29 10:55:03.500000+00:00,6.3040633,53.282915,0.12299999999999045,11,11,0
2019-03-29 10:55:04+00:00,6.3041025,53.282915,0.19400000000001683,11,11,0
2019-03-29 10:55:04.500000+00:00,6.3041417,53.2828017,0.1290000000000191,11,11,0
2019-03-29 10:55:05+00:00,6.30418085,53.2828017,0.2869999999999777,11,11,0
2019-03-29 10:55:05.500000+00:00,6.30422,53.2826883,0.32200000000000273,11,11,0
2019-03-29 10:55:06+00:00,6.30425915,53.2826883,0.39100000000001955,11,11,0
2019-03-29 10:55:06.500000+00:00,6.3042983,53.282575,0.45400000000000773,11,11,0
2019-03-29 10:55:07+00:00,6.3043375,53.282575,0.44999999999998863,11,11,0
2019-03-29 10:55:07.500000+00:00,6.3043767,53.2824617,0.44999999999998863,11,11,0
2019-03-29 10:55:08+00:00,6.304415,53.2824617,0.5409999999999968,11,11,0
2019-03-29 10:55:08.500000+00:00,6.3044533,53.2823483,0.339999999999975,11,11,0
2019-03-29 10:55:09+00:00,6.3044899999999995,53.2823483,0.3269999999999982,11,11,0
2019-03-29 10:55:09.500000+00:00,6.3045267,53.282235,0.3269999999999982,11,11,0
2019-03-29 10:55:10+00:00,6.3045592,53.282235,0.34499999999997044,11,11,0
2019-03-29 10:55:10.500000+00:00,6.3045917,53.2821183,0.23599999999999,11,11,0
2019-03-29 10:55:11+00:00,6.304619199999999,53.2821183,0.2319999999999709,11,11,0
2019-03-29 10:55:11.500000+00:00,6.3046467,53.2820017,0.20799999999997,11,11,0
2019-03-29 10:55:12+00:00,6.3046641999999995,53.2820017,0.055999999999983174,11,11,0
2019-03-29 10:55:12.500000+00:00,6.3046817,53.2818783,0.15100000000001046,11,11,0
2019-03-29 10:55:13+00:00,6.304688349999999,53.2818783,0.016000000000019554,11,11,0
2019-03-29 10:55:13.500000+00:00,6.304695,53.2817517,0.117999999999995,11,11,0
2019-03-29 10:55:14+00:00,6.30468915,53.2817517,0.34499999999997044,11,11,0
2019-03-29 10:55:14.500000+00:00,6.3046833,53.2816183,0.45799999999997,11,11,0
2019-03-29 10:55:15+00:00,6.3046658,53.2816183,0.2699999999999818,11,11,0
2019-03-29 10:55:15.500000+00:00,6.3046483,53.2814833,0.34600000000000364,11,11,0
2019-03-29 10:55:16+00:00,6.3046183,53.2814833,0.2300000000000182,11,11,0
2019-03-29 10:55:16.500000+00:00,6.3045883,53.281345,0.06799999999998363,11,11,0
2019-03-29 10:55:17+00:00,6.3045475,53.281345,0.14699999999999136,11,11,0
2019-03-29 10:55:17.500000+00:00,6.3045067,53.2812067,0.1069999999999709,11,11,0
2019-03-29 10:55:18+00:00,6.3044567,53.2812067,0.2529999999999859,11,11,0
2019-03-29 10:55:18.500000+00:00,6.3044067,53.2810683,,,11,0
2019-03-29 10:55:19+00:00,6.304354200000001,53.2810683,0.3129999999999882,,11,0
2019-03-29 10:55:19.500000+00:00,6.3043017,53.280925,0.29000000000002046,,11,0
2019-03-29 10:55:20+00:00,6.3042525000000005,53.280925,0.28899999999998727,,11,0
2019-03-29 10:55:20.500000+00:00,6.3042033,53.2807783,0.3229999999999791,,11,0
2019-03-29 10:55:21+00:00,6.3041633,53.2807783,0.22699999999997544,,11,0
2019-03-29 10:55:21.500000+00:00,6.3041233,53.2806283,0.1419999999999959,,11,0
2019-03-29 10:55:22+00:00,6.3040933,53.2806283,0.12299999999999045,,11,0
2019-03-29 10:55:22.500000+00:00,6.3040633,53.28048,0.17799999999999727,,11,0
2019-03-29 10:55:23+00:00,6.3040183,53.28033,0.18099999999998317,,11,0
2019-03-29 10:55:24+00:00,6.304000566666667,53.28033,0.2939999999999827,,11,0
2019-03-29 10:55:24.500000+00:00,6.3039917,53.28018,0.24099999999998545,,11,0
2019-03-29 10:55:25+00:00,6.303990000000001,53.28018,0.2980000000000018,,11,0
2019-03-29 10:55:25.500000+00:00,6.3039883,53.2800283,0.2969999999999686,,11,0
2019-03-29 10:55:26+00:00,6.3039958,53.2800283,0.5059999999999718,,11,0
2019-03-29 10:55:26.500000+00:00,6.3040033,53.2798733,0.7060000000000173,,11,0
2019-03-29 10:55:27+00:00,6.30401415,53.2798733,0.9250000000000114,,11,0
2019-03-29 10:55:27.500000+00:00,6.304025,53.279715,0.8389999999999986,,11,0
2019-03-29 10:55:28+00:00,6.30403585,53.279715,0.7629999999999768,,11,0
2019-03-29 10:55:28.500000+00:00,6.3040467,53.279555,0.5109999999999673,,11,0
2019-03-29 10:55:29+00:00,6.3040567,53.279555,0.33199999999999363,,11,0
2019-03-29 10:55:29.500000+00:00,6.3040667,53.2793917,0.3199999999999932,,11,0
2019-03-29 10:55:30+00:00,6.304075,53.2793917,0.2909999999999968,,11,0
2019-03-29 10:55:30.500000+00:00,6.3040833,53.2792267,0.2330000000000041,,11,0
2019-03-29 10:55:31+00:00,6.3040875,53.2792267,0.21800000000001774,,11,0
2019-03-29 10:55:31.500000+00:00,6.3040917,53.27906,0.3009999999999877,,11,0
2019-03-29 10:55:32+00:00,6.30409085,53.27906,0.3439999999999941,,11,0
